logged_at,ticker,direction,horizon_d,benchmark,thesis,status,entry_date,entry,excess_pct,pattern_tag,notified
2026-07-02T14:47:18+00:00,APD,long,63,XLB,"Air Products: Jun30 scrapped $2.9B Louisiana clean-energy complex + AZ zero-carbon H2 -> capital-discipline pivot (mkt rewarded +8% ON a $2.9B pretax writedown = re-rating the story from value-destroying capex to cash-return); Yara renewable-ammonia deal de-risks ammonia book. Moderate conviction. Risk: fQ3 big writedown charge already flagged, industrial-gas demand cyclical.",open,,,,capital-discipline-rerating,
2026-07-06T22:13:41+00:00,IRM,short,63,SPY,"Iron Mountain: rich-name deflation. P/E ~128 vs 106 5yr-median, ~13pct above GF fair value; insiders sold 17M last 3mo with ZERO buys; down 3 sessions / -12pct 5d while the tape ripped to Dow-53k records = clear relative weakness / broken momentum. Thesis: overvalued REIT/data-center hybrid mean-reverts vs broad market. MODEST conviction. EVENT RISK: Q2 earnings early-Aug inside the 63d window can whipsaw.",open,,,,valuation-deflation-short,
2026-07-10T23:39:55+00:00,SPCX,short,174,SPY,"USER bet (his call gets the same test as the model's): social-media bear thesis — SPCX to ~$100 by year-end as staged IPO-lockup supply hits the float Jul→Dec (main unlock ~Dec-8) into a rich valuation. Logged 2026-07-10 with SPCX ~145.30. Event risk: launch-cadence/Starlink news can rip it higher; we hold a locked 17-sh long lot, so this bet is hedge-flavored, NOT sized. [CORRECTION 2026-08-08, audit #1: that 'locked 17-sh lot' never existed — a cash balance misbooked as shares (FINDINGS 2026-08-02); the bet was never hedged and stands as a pure pre-registered call.] Threshold pre-registered: the claim is right if SPCX lags SPY over 174d (year-end).",open,,,,lockup-supply,
2026-07-13T22:15:46+00:00,MRNA,short,63,XBI,"Moderna: JPM reaffirmed Sell (financial situation 'precarious'), $950M litigation payment due Q3, Q2 rev guided to collapse to $50-100M, mean analyst PT $38 vs ~$68 spot; durable idiosyncratic fundamental deterioration, not just the -4% biotech flush. Med-low conviction; RISK: heavily-shorted biotech can squeeze on any pipeline/M&A pop",open,,,,analyst-rerating,
2026-07-13T22:15:46+00:00,AKAM,long,63,IGV,"Akamai: name-specific AI re-rating — launched agentic AI-agent security framework (Visa/Experian partners), closed $205M LayerX buy, Oppenheimer Outperform $180 vs ~$118; cloud/AI-inferencing 'underappreciated'. Q2 earnings 8/6 inside window. Med conviction; RISK: chronic value-trap + AI premium could fade in an AI-unwind tape",open,,,,narrative-stage-transition,
2026-07-15T22:19:46+00:00,PNR,long,63,XLI,Pentair: prelim Q2 rev -17% (~$930M vs $1.134B guide) driven by ~$170M POOL-CHANNEL DESTOCKING (transitory inventory reset — reversed in 2023-24 pool cycle) + FY EPS cut $1.47->$1.12 + CFO exit after 4mo + RBC cut to Sector Perform PT $74. Washed out at 52wk-low (-50% from high). LONG the destocking-reversal overreaction; moderate conviction. KEY RISK: CFO departure at a guidance cut often precedes more bad news; full Q2 report pending.,open,,,,guidance-cut-overreaction,
2026-07-17T22:15:45+00:00,CTAS,long,63,XLI,"Cintas fQ4 double beat (EPS $1.29, GM 51% = record) + FY27 rev guide $12.10-12.25B above $12.08B consensus; BofA upgrade to Buy PT $230, GS PT $231. Defensive facility-services compounder INSULATED from the semi/AI-spend selloff crushing the tape — clean beat-and-raise PEAD. Conviction moderate; no imminent event risk (just reported). SIZED SUGGESTION: 5 sh @ ~204.45, stop 184 (-10%), 63d",open,,,,post-earnings-drift,
2026-07-20T22:15:08+00:00,CDNS,long,63,IGV,"Cadence -12.7% (Jul17) on Moonshot Kimi-K3 demo (autonomous 45nm chip flow in 48h with only open-source EDA), which markets read as an EDA-moat threat. Overreaction: 45nm is generations behind the 2/3nm frontier where Cadence/Synopsys tools are deepest and hardest to replicate; BNP called it a buy-the-dip. Wide-moat compounder, name-specific narrative shock vs software peers. Conviction moderate. EVENT RISK: US may tighten China EDA export rules (a real revenue headwind, separate from the demo narrative) + CDNS reports ~late-Oct.",open,,,,spike-fade,
2026-07-22T22:17:16+00:00,DHR,long,63,XLV,"Danaher Q2 (rpt 7/21): beat (rev 6.3B, EPS 1.94 vs 1.84) + RAISED FY EPS to 8.45-8.60. Stock -11% (201->179) because ~$100M bioprocessing shipments PUSHED to 2027 — TIMING, not demand loss. Quality compounder overreaction; med-high conviction. SIZED SUGGESTION: 6 sh @ ~179, stop 158 (-12%)",open,,,,guidance-cut-overreaction,
2026-07-22T22:17:16+00:00,ISRG,long,63,XLV,"Intuitive Surgical Q2 (rpt 7/16): beat (EPS 2.80 vs 2.48, rev +18.5%) but -12% on US procedure decel to 12% + guide HELD not raised. Down 29% YTD = multiple compression on quality medtech; oversold-quality overreaction. Med conviction; decel is real event risk.",open,,,,guidance-cut-overreaction,
2026-07-22T22:17:16+00:00,SMCI,long,21,SOXX,"Super Micro prelim Q4 (7/22): record $60B backlog + GM guide DOUBLED 8.2%->15-17%. Genuine fundamental reset; fast post-earnings drift. Med conviction; accounting history + extreme vol = event risk, full report pending.",open,,,,post-earnings-drift,
2026-07-22T22:17:16+00:00,WAB,long,63,XLI,"Wabtec Q2 (rpt 7/22): double beat (EPS 2.76 vs 2.63, rev 3.18B +17.5%) + RAISED FY rev+EPS guide; op cash flow +111%. Company-specific quality industrial; post-earnings drift long. Med conviction.",open,,,,post-earnings-drift,
2026-07-22T22:17:16+00:00,TRV,long,63,XLF,"Travelers Q2 (rpt 7/17): 88% EPS beat (10.04 vs 5.41), combined ratio 83.6%, core income +44%, ROE 24.9%. Drift long. Med conviction; caveat: low-cat quarter + $578M reserve releases partly non-repeatable.",open,,,,post-earnings-drift,
2026-07-22T22:17:16+00:00,ABT,long,63,XLV,"Abbott Q2 (rpt 7/16): beat (EPS 1.31 vs 1.28, rev +13%) + RAISED FY EPS to 5.45-5.60; Exact Sciences driving growth. Post-earnings drift. Med-low conviction; CGM competition + soft Nutrition + low vol on move = caveats.",open,,,,post-earnings-drift,
2026-07-24T22:15:05+00:00,LMT,long,63,ITA,"Lockheed Q2 (rpt 7/22): beat-and-raise, rev +11% to $20.06B, EPS $7.94, raised FY26 to $29.95-30.65; record backlog on durable global rearmament, +10% single-day pop. Read: PEAD continues on a clean beat-and-raise defense leader. Med conviction, no event risk in window.",open,,,,post-earnings-drift,
2026-07-24T22:15:06+00:00,DLR,long,63,XLRE,"Digital Realty Q2 (rpt 7/23): FFO $2.13 crushed $0.50 est, rev $1.92B vs $1.67B, raised FY26 FFO to $8.15-8.20; TD Cowen/Guggenheim upgrades to Buy, JPM PT raise. AI-datacenter demand. Read: PEAD + analyst re-rating continues. Med conviction, buying after +14% pop = extension risk.",open,,,,post-earnings-drift,
2026-07-24T22:15:06+00:00,ROL,short,63,SPY,"Rollins Q2 (rpt 7/22): EPS $0.32 miss $0.34, rev $1.079B miss, residential pest demand slowing, op margin -1.2pt; analysts cutting PTs; ~40x perfection multiple already -34% YTD. Read: identifiable demand deceleration on premium multiple → continued underperformance. Med-low conviction, bounce risk after -14%.",open,,,,valuation-deflation-short,
2026-07-24T23:35:46+00:00,MSCI,long,63,XLF,"MSCI Q2 (rpt 7/21): -12pct on a 4-CENT non-GAAP EPS miss (4.94 vs 4.98) — the move more than DOUBLED the 4.2pct options-implied swing. Revenue +12.2pct YoY and IN LINE; the miss is EXPENSE-driven (opex +9.2pct to 379.5M on non-comp + acquisitions) with FY26 opex guide raised to 1.54-1.58B — a cost quarter, NOT a demand break, at a wide-moat recurring-revenue index/analytics monopoly. Sell-side PTs (JPM/Barclays/BofA/RJ) all above 730 into the print vs ~582 post. Overreaction to a margin headline. Risk: high multiple can keep de-rating on structural cost creep (our IRM valuation-deflation thesis cuts the other way)",open,,,,guidance-cut-overreaction,
2026-07-27T15:17:10+00:00,INTC,long,63,SOXX,"Intel fQ2 (rpt 7/21): rev +25pct (sharpest since 2011), EPS 2x, all segments up (DCAI +59pct), strong Q3 guide; stock +8.6pct on 7/21. Read: post-earnings drift on a real inflection. RE-REGISTERED 7/27 after the 2026-07-27 read-run alert FAILED TO PERSIST (pushed to Telegram, never written to the catalogue/committed) - kept LONG as alerted so the verdict N cannot be cherry-picked by my disagreement. TWO CORRECTIONS to the alert thesis, both verified on bars: (1) the alert claimed the pop came 'into a -2.2pct Nasdaq/semis-down tape' - FALSE, SOXX was +5.4pct on 7/21, an UP tape; true relative strength was +3.2pct, not strength-against-a-decline. (2) entry is 89.98 (7/27 close), not the alerted 92.32 - the gap has fully round-tripped (105.45 -> 89.98, -14.7pct in 4 sessions) and INTC is now -7.3pct BELOW its pre-earnings 7/20 close of 97.06. Honest note: entering at a price 2.5pct better than alerted flatters this bet; treat any pass with that caveat. Risk: this looks like sell-the-news/spike-fade [Arc 5 #3] + the XRP spent-catalyst tell [Arc 5 #4], not drift; Foundry loss-making, capex >20B into an AI-capex derating. BOOK DECLINED TO FUND (money silo separate [Arc 5 #4]).",open,,,,post-earnings-drift,
2026-07-28T11:38:19+00:00,GM,long,63,XLY,"GM Q2 (rpt 7/21): double beat + 2ND FY guidance raise of 2026 (adj EPS 12-14), record H1 EPS 7.27 (+35% YoY), 42% full-size pickup share, tariff cost flat/managed via onshoring. Post-earnings beat-and-raise drift. Conviction med; risk: auto is cyclical + tariff/consumer-demand overhang could cap the drift.",open,,,,post-earnings-drift,
2026-07-28T11:38:20+00:00,MMM,long,63,XLI,"3M Q2 (rpt 7/21): beat (adj EPS 2.40 vs 2.24, +11% YoY, org growth 5.4%) + RAISED FY guide to 8.80-8.95 (from 8.50-8.70); turnaround gaining traction, margin expansion 70-80bps, AI-datacenter demand in electrical. Conviction med; risk: turnaround already partly priced (stock up ~9% on the day), litigation tail.",open,,,,post-earnings-drift,
2026-07-28T11:38:20+00:00,RTX,long,63,ITA,"RTX Q2 (rpt 7/23): beat (rev 24.7B vs 22.9B, adj EPS 1.89 vs 1.66), raised FY guide 3x over (EPS 7.10-7.25, org growth to 8-9%), record 289B backlog, margins expanded all 3 segments, 18% Raytheon growth, FCF guide up. High-vol confirmed (1.8x). Conviction med-high; risk: defense already run + correlated with live LMT (both vs ITA strips sector beta).",open,,,,post-earnings-drift,
2026-07-28T11:38:20+00:00,IP,long,63,XLB,"Intl Paper: containerboard 40/ton price hike (PCA-led, eff Sep 1, called unprecedented; possible further +50-70) + RBC PT->48 Outperform on tighter supply/firmer US pricing. IP is the LAGGARD vs PKG's record high = better entry on a real industry pricing catalyst. Conviction med; risk: containerboard hikes historically only partially realized + IP earnings could land in window.",open,,,,analyst-rerating,
2026-07-29T11:39:42+00:00,IQV,long,63,XLV,"IQVIA Q2 (rpt 7/28): clean double beat (adj EPS 3.15 vs 3.04, rev 4.37B vs 4.30B, org growth accel to 6%) + FY26 guide RAISED across the board (rev 17.275-17.475B, EPS 12.80-13.00) + RECORD bookings + explicit AI-driven demand/productivity tailwind. +14% on the print, near 52wk high. Post-earnings-drift long; sector-distinct (life-sci services) from my industrial PEAD cluster. Conviction medium-high. Event risk: broad AI-capex sentiment wobble this week (hyperscaler prints) could pressure high-multiple names, but IQV's beat is fundamentals not sentiment.",open,,,,post-earnings-drift,
2026-07-30T11:40:58+00:00,VRT,long,63,XLI,"Vertiv Q2 (rpt 7/29): EPS BEAT 1.52 vs 1.42 (+60pct YoY) + RAISED FY guide to 6.65-6.75 EPS / 13.8-14.2B rev + next-Q guide above cons; stock sold off ~-10pct on a REVENUE-timing miss (3.27B vs 3.38B, mgmt: timing not demand). Hyperscaler capex RAISED this week (MSFT ~190B FY27, Meta 125-145B) = direct data-center power/cooling demand tailwind the tape underweighted -> overreaction long. Conviction MEDIUM; risk: rich DC-infra valuation + any capex-ROI-doubt wave re-hits the whole complex",open,,,,revenue-miss-overreaction,
2026-07-31T11:37:22+00:00,CMG,long,63,XLY,"Chipotle Q2 (rpt 7/29): beat (adj EPS 0.33 vs 0.32, rev 3.35B) + comps RE-ACCELERATED to +2.2% (traffic +1%) and RAISED FY comp guide from flat to low-single-digit; +12% on 7/30. Name-specific turnaround inflection (Honey Chicken, rewards, Chipotlanes) not sector move. Conviction medium-high. Risk: margin pressure, consumer softening.",open,,,,post-earnings-drift,
2026-07-31T11:37:22+00:00,BAX,long,63,XLV,"Baxter Q2 (rpt 7/30): 51pct EPS beat (adj 0.56 vs 0.37), rev 2.96B beat 2.79B, FCF margin 6.1pct vs 2.7pct, RAISED FY EPS to 1.95-2.15 and sales guide. Turnaround progress, name-specific. +8.7pct. Conviction medium. Risk: turnaround stalls, healthcare/tariff.",open,,,,post-earnings-drift,
2026-07-31T11:37:22+00:00,CTSH,long,63,XLK,"Cognizant Q2 (rpt 7/29): rev 5.48B beat + RAISED FY EPS guide to 5.70-5.82 (8-10pct growth); Financial Svcs +12pct, bookings 29.1B, 1.15B buyback, Citi PT 45->60. IT-services re-rating, name-specific. +13pct. Conviction medium. Risk: EPS slight miss, IT-services demand/AI-disruption overhang.",open,,,,post-earnings-drift,
2026-08-03T11:43:40+00:00,DXCM,long,21,XLV,"DexCom Q2 (rpt 7/30): beat (EPS 0.70 vs 0.61) + RAISED FY margins; FDA TEMPO pilot + PBM coverage 7M non-insulin T2 + CONNECT Level-A evidence = durable reimbursement re-rating. FAST sleeve. SIZED SUGGESTION: 5 sh @ ~83.45, stop 76.80",open,,,,post-earnings-drift,
2026-08-03T11:43:40+00:00,GRMN,long,63,SPY,"Garmin Q2 (rpt 7/29): record double beat (EPS 2.81 vs 2.29) + raised FY EPS to 10.00 from 9.35; fitness +25% (CIRQA sellout), GM 62.4%, op income +30%. Clean beat-and-raise. Risk: consumer-electronics cyclicality",open,,,,post-earnings-drift,
2026-08-03T11:43:40+00:00,HII,long,63,ITA,"Huntington Ingalls Q2 (rpt 7/30): beat (EPS 5.27 vs 3.86), rev +11% to 3.4B, shipbuilding rev +16%, margin 6.6% vs 5.6%; RAISED shipbuilding rev + margin guide (Newport News/Ingalls inflection). Durable Navy backlog. Risk: program execution",open,,,,post-earnings-drift,
2026-08-03T11:43:40+00:00,LII,long,63,XLI,Lennox Q2 (rpt 7/29): -23% on only a ~3-5% FY EPS trim (23.00-24.00 vs prior 23.50-25.00); commercial +24% offsets residential -7%. Guidance-cut OVERREACTION. Risk: residential HVAC weakness is real/secular,open,,,,guidance-cut-overreaction,
2026-08-03T11:43:40+00:00,REGN,long,63,IBB,"Regeneron Q2 (rpt 7/30): EPS 14.29 vs 10.53 (+40% above cons), rev +16.7% on Eylea-HD + Sanofi collab +51% (Dupixent); recovering from multi-month lows. Risk: Eylea biosimilar/competitive erosion overhang",open,,,,post-earnings-drift,
2026-08-03T11:43:41+00:00,WTW,long,63,XLF,"Willis Towers Watson Q2 (rpt 7/30): beat (EPS 3.35 vs 3.13, +17% YoY), 5% organic, +100bp margin; Propel AI plan (400M run-rate savings, path to 30% margin 2028). Quality-compounder drift. Risk: margin story is a 2028 build, slow",open,,,,post-earnings-drift,
2026-08-04T20:31:50+00:00,NIO,long,63,SPY,"USER bet (his call gets the same test as the model's): held through capitulation to avoid selling the bottom; claims likely flip. No clear evidence offered - that is why it is scored. Spot ~4.78, 52wk low 4.44, exit target 4.85 structured same day. Delivery thesis remains dead [2026-08-02]; this bet tests the FLIP claim, not the old thesis.",open,,,,capitulation-reversal,
2026-08-05T11:40:46+00:00,ZBRA,long,63,XLK,"Zebra Q2 (rpt 8/4): beat-and-raise — EPS 6.35 vs 4.44 (+76pct YoY), record sales +20pct, adj EBITDA margin +7.1pts to 27.7pct, raised FY guide. Differentiated from the semi-rally tape: ZBRA is a memory-cost VICTIM (absorbed a 20M cost hike via pricing power), not memory beta. post-earnings drift long. risk: +26pct earnings gap already extended; tech-tape reversal.",open,,,,post-earnings-drift,
2026-08-06T11:39:29+00:00,QLYS,long,63,IGV,"Qualys Q2 (rpt 8/4): clean beat-and-raise — rev $182.2M +11% (beat), non-GAAP EPS $1.98 (+10.9% beat), 46% adj-EBITDA margin; RAISED FY26 rev to $732-738M and EPS to $7.74-7.88, Q3 guide above consensus; new AI product InstaScan (vuln detection). New 52wk high on fundamentals = bullish drift signal, not a fade. IDIOSYNCRATIC — cybersecurity, NOT the AI-capex melt-up wave that carried the rest of the scan (COHR/ANET/MRVL/VRT etc), so a distinct read not one macro draw. Conviction MEDIUM. Risk: already ran +35% in 5d incl the ~14% earnings pop = late entry, rich SaaS multiple can mean-revert.",open,,,,post-earnings-drift,
2026-08-06T11:39:38+00:00,PODD,long,21,XLV,"Insulet Q2 (rpt 8/5): BEAT — EPS $1.66 vs ~$1.44 (+15%), rev $801.7M +23.5% YoY, Omnipod core sales SOARING; stock -20% on a MODEST FY26 rev-guide trim (~$3.3B->$3.2-3.3B) + total-drug-delivery outlook 21-23%->20-22% citing slower US insulin-pump sales. Read: -20% overshoots a ~1-3% guide trim on a name whose core franchise is still compounding 20%+; fast overreaction-fade (why 21d, not core drift). IDIOSYNCRATIC medtech, not the AI wave. Conviction LOW-MED. Risk (the killer): US pump-demand deceleration is a REAL multiple-reset trigger and in a rotation-to-AI tape a guide-down healthcare grower can keep bleeding (Oppenheimer cut to Market Perform).",open,,,,guidance-cut-overreaction,
2026-08-07T11:41:19+00:00,DVA,long,21,XLV,"DaVita Q2 (rpt 8/4): BEAT EPS 4.02 vs 3.88 + rev 3.55B vs 3.49B, but -21pct in 5d because FY EPS guide was HELD FLAT (mid 14.65) vs 14.88 consensus -> a ~1.5pct shortfall, not a cut. Defensive dialysis duopoly (DVA/FMC) with pricing power + demographic tailwind + Berkshire as anchor holder = a floor. Thesis: 21pct drawdown on a small guidance disappointment in a stable oligopoly is an overreaction that mean-reverts vs XLV over weeks. Conviction MEDIUM. Risk: real margin-doubt narrative (GF Value: still overvalued) could keep de-rating; no earnings inside the 21d window.",open,,,,guidance-cut-overreaction,
